City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,arraial do cabo,-22.9661,-42.0278,20.92,73,75,6.69,BR,1689976509
219,banbury,52.0602,-1.3403,15.2,74,97,2.93,GB,1689976403
220,suva,-18.1416,178.4415,23.71,88,20,1.54,FJ,1689976230
221,camiri,-20.05,-63.5167,28.88,42,0,5.14,BO,1689976403
222,ilomantsi,62.6716,30.9328,12.61,98,100,3.18,FI,1689976403
223,hermanus,-34.4187,19.2345,10.88,62,98,2.46,ZA,1689976711
224,monywa,22.1167,95.1333,28.24,79,99,2.01,MM,1689976404
225,alakurtti,66.9672,30.3491,11.32,87,100,2.36,RU,1689976404
226,chunskiy,56.0815,99.6342,13.95,73,0,1.56,RU,1689976404
227,coahuayana de hidalgo,18.7,-103.6583,32.8,58,17,3.37,MX,1689976327
228,labytnangi,66.6572,66.4183,18.01,88,99,1.87,RU,1689976726
229,richards bay,-28.783,32.0377,14.59,74,53,4.65,ZA,1689976724
230,trashi yangtse,27.6116,91.498,19.74,95,100,0.13,BT,1689976405
231,uturoa,-16.7333,-151.4333,24.36,65,31,6.45,PF,1689976296
232,port alfred,-33.5906,26.891,19.18,50,82,8.28,ZA,1689976699
233,hwange,-18.3693,26.5019,16.92,65,20,2.96,ZW,1689976406
234,ingeniero guillermo n. juarez,-23.9,-61.85,31.9,24,0,10.12,AR,1689976406
235,badger,64.8,-147.5333,24.44,49,20,1.54,US,1689976769
236,choibalsan,48.0667,114.5,13.55,74,13,2.88,MN,1689976769
237,sakleshpur,12.9667,75.7833,19.08,93,100,6.22,IN,1689976407
238,cabo san lucas,22.8909,-109.9124,37.01,61,0,5.69,MX,1689976200
239,ujae,8.9322,165.7642,28.77,75,100,6.61,MH,1689976407
240,fuglafjordur,62.244,-6.814,11.26,93,41,3.13,FO,1689976770
241,tubarjal,30.4999,38.216,30.41,23,0,7.18,SA,1689976408
242,bandar lampung,-5.4254,105.258,23.4,91,63,0.26,ID,1689976408
243,santa elena de uairen,4.6167,-61.1333,22.0,80,33,1.96,VE,1689976770
244,okha,53.5739,142.9478,16.01,95,100,3.8,RU,1689976770
245,kirawsk,53.2686,29.4736,14.45,66,35,2.51,BY,1689976409
246,senillosa,-39.0,-68.4167,15.88,44,100,5.63,AR,1689976409
247,atafu village,-8.5421,-172.5159,28.79,70,64,4.83,TK,1689976771
248,saint-philippe,-21.3585,55.7679,19.77,84,68,6.05,RE,1689976771
249,ratnagiri,16.9833,73.3,25.04,94,100,6.57,IN,1689976410
250,as safirah,36.077,37.3725,26.25,55,0,5.43,SY,1689976410
251,nar'yan-mar,67.6713,53.087,8.24,94,86,6.2,RU,1689976637
252,balqash,46.8481,74.995,24.7,36,3,3.89,KZ,1689976411
253,gabu,12.2833,-14.2167,25.62,90,92,3.06,GW,1689976411
254,vylkove,45.4021,29.586,21.67,72,0,3.58,UA,1689976411
255,acapulco de juarez,16.8634,-99.8901,31.9,70,40,5.14,MX,1689976290
256,constitucion,-35.3333,-72.4167,12.92,82,100,4.94,CL,1689976724
257,aripuana,-9.1667,-60.6333,27.44,37,25,0.94,BR,1689976306
258,hithadhoo,-0.6,73.0833,27.48,80,88,2.79,MV,1689976773
259,chonchi,-42.6128,-73.8092,8.56,94,100,2.21,CL,1689976685
260,nasir,15.5894,32.5634,35.88,30,79,6.05,SD,1689976413
261,santa marta,11.2408,-74.199,38.03,39,20,5.14,CO,1689976773
262,iskateley,67.6803,53.1512,8.22,94,88,6.17,RU,1689976665
263,la ronge,55.1001,-105.2842,25.14,36,75,5.66,CA,1689976316
264,aguililla,18.7333,-102.7333,31.22,45,27,0.7,MX,1689976414
265,mo i rana,66.3128,14.1428,13.51,92,75,0.0,NO,1689976372
